Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01751,CONCORDE EXP OF N.Y. INC,,2018,1,January,"1,974",0,7
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2019,11,November,"5,004",0,51
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2021,7,July,809,0,9
B01923,"AVID INTERNATIONAL, INC.",,2015,10,October,"1,259",0,19
B01326,DEBORAH C/L SVC INC,,2018,5,May,"2,526",0,63
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2019,11,November,383,0,8
B01466,FIVE STAR,,2018,12,December,"1,648",0,18
B02987,7 WAYS TRANSPORTATION CORP.,,2021,2,February,54,0,9
B01529,J.I.G. TRANSPORT CORP.,ECKFORD CAR SERVICE,2016,1,January,"1,167",0,11
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2018,11,November,"1,026",0,9
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE/TRISTAR,2020,12,December,320,0,9
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2016,6,June,"4,253",0,60
B00310,WATSON CAR SERVICE INC.,,2018,3,March,"25,964",0,103
B01364,NY ATLIXCO CAR SERVICE INC,,2019,8,August,"2,414",0,22
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2017,12,December,"1,257",0,46
B03156,EPIC CAR SERVICE INC.,,2020,3,March,"1,819",0,32
B01808,OLD TOWN CARS CORP,DELTA CARS,2019,2,February,"3,099",0,7
B03283,NORWOOD CAR @ LIMO INC.,,2020,3,March,576,0,10
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2017,5,May,"4,554",0,10
B00991,BLUE LANE CAR SERVICE INC,,2020,5,May,36,0,4
B02794,ASAP LUXE INC,,2018,1,January,2,0,2
B02925,SIGNATURE BLACK CAR LLC,,2016,9,September,9,0,6
B01081,GEORGE TOWN MANAGEMENT INC,,2019,7,July,659,0,8
B00446,COMMUNICAR INCORPORATED,,2018,6,June,"3,859",0,92
B01056,UNITY CAR & LIMO INC.,,2017,2,February,"5,865",0,25
B02360,BRIDGES LIMOUSINE INC,EXCELLENT LIMOUSINE,2017,10,October,155,0,9
B02984,GRAND PRIX TRANSPORTATION LLC,,2017,9,September,59,0,6
B02470,VAHANA INC.,,2020,5,May,26,0,4
B02061,ROYAL COACHMAN LTD.,,2017,2,February,69,0,9
B00459,910 CAR SERVICE INC,,2016,8,August,"9,534",0,51
B02799,CHURCH AVENUE EXPRESS INC,,2018,3,March,"3,145",0,12
B02536,SEAGULL RIDE CORP,,2018,8,August,"1,983",0,6
B02460,CABOT LIMO NY CORP.,,2017,7,July,"1,223",0,28
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2017,11,November,"7,206",0,13
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2019,5,May,1,0,1
B01445,J T TRANS CO INC,,2017,11,November,211,0,58
B02027,"PARIS LIMOUSINE SERVICE, CORP",,2015,10,October,"2,322",0,48
B00859,PROMENADE CAR LEASE INC,,2016,1,January,997,0,9
B03080,AMBAR TRANSPORTATION INC.,,2021,4,April,"3,464",0,36
B00448,DIAL CAR INC.,,2018,2,February,"6,755",0,172
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2021,6,June,283,0,55
B00900,BIG Q CAR SVC. INC.,,2019,5,May,"34,180",0,123
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2021,7,July,31,0,1
B01326,DEBORAH C/L SVC INC,,2016,6,June,605,0,10
B01990,SUK INCORPORATED,RAINBOW LIMO,2016,6,June,461,0,45
B01087,ELITE LIMO PLUS INC,,2020,5,May,"3,877",0,79
B01963,AFRO CAR SERVICE CORP,,2015,12,December,876,0,17
B01957,"ANIMO, INC",CHRIS LIMOUSINE U.S.A.,2015,8,August,173,0,5
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2018,3,March,341,0,7
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2018,10,October,"8,616",0,102
B02988,"BED STAR DRIVERS ASSOCIATES, INC",,2019,1,January,825,0,8
B02550,AGAPE LUXURY CORP.,,2017,12,December,"29,165",0,284
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2021,6,June,"25,495",0,128
B01413,SFL INC,,2017,10,October,"2,240",0,42
B00882,U N C CAR & LIMO SERVICE,,2017,6,June,151,0,7
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2021,3,March,704,0,18
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2019,1,January,"8,063",0,22
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2020,10,October,"1,936",0,10
B01190,NEW BELL CAR SERVICE CORP,,2016,11,November,"11,572",0,73
B01537,S.I. SPEED INC.,,2019,11,November,"2,379",0,8
B02470,VAHANA INC.,,2017,4,April,466,0,13
B01553,CITY LINE CAR SERVICE INC,,2018,10,October,"8,185",17,37
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2017,11,November,374,0,4
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2021,4,April,"2,167",0,13
B01721,W.K. CAR & LIMO SERVICE INC,,2019,11,November,"2,307",0,19
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2020,4,April,565,0,11
B01764,QUICK RIDE CORP.,,2019,10,October,424,0,9
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2019,10,October,"1,399",0,13
B01553,CITY LINE CAR SERVICE INC,,2020,8,August,"2,351",0,13
B00552,HINO-MARU ENTERPRISES INC.,,2017,8,August,808,0,44
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,2017,5,May,240,0,1
B00975,"T.J.Q. CAR SERVICE, INC.",QUALITY CAR SVCE,2021,3,March,237,0,2
B02491,CALL THREES LLC,,2018,2,February,73,0,1
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2017,9,September,336,0,3
B02832,NYC FLY WHEELS INC.,,2021,7,July,456,0,6
B01215,ECUADOOR CORP,,2018,6,June,"11,467",0,48
B01009,UNITED LIMO C/M SVC CORP,,2017,2,February,"1,262",0,11
B01949,FIRST CLASS OF NEW YORK INC.,NEW YORK FIRST CLASS,2017,9,September,"1,015",0,49
B02924,CELEBRITY LUXURY INC.,,2017,6,June,"5,568",0,42
B03128,RIDE SMART CORP.,,2020,9,September,"1,895",0,9
B00196,NEW EASY WAY RADIO DISP INC,,2017,8,August,394,0,15
B01009,UNITED LIMO C/M SVC CORP,,2017,7,July,640,0,8
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2018,4,April,"1,424",0,37
B02899,NEW BLACK LUXURY CARS CORP,,2019,4,April,"13,933",0,51
B02509,NY MINUTE CAR SERVICE INC.,,2021,2,February,"4,682",0,29
B03023,HERMANY LIMO TRANSPORTATION LLC,,2020,4,April,"1,019",0,12
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2019,2,February,406,0,16
B02331,"CHICO EXPRESS LIMO, INC.",,2018,2,February,"1,117",0,7
B01349,CAPRICORN LIMO SVC INC,,2020,2,February,472,0,17
B03060,EASTLAND BLACK CARS CORP,,2018,6,June,"7,236",0,31
B02929,OTTOMAN TRANSPORTATION INC.,,2019,7,July,6,0,2
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2019,6,June,162,0,41
B01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2018,6,June,"1,184",0,7
B02848,V R WORLDWIDE INC,,2017,1,January,78,0,5
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2020,6,June,266,0,14
B02732,KESHES INC,,2018,2,February,"2,674",0,19
B00387,FORTUNE LIMOUSINES INC,,2019,4,April,304,0,9
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2019,8,August,"5,638",0,36
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2018,2,February,"2,135",0,28
B02924,CELEBRITY LUXURY INC.,,2021,7,July,16,0,10
B01389,METRO LUXURY INC,,2020,7,July,"1,590",0,12
B00254,XYZ TWO WAY RADIO,,2021,2,February,"4,426",0,87
B01437,MERENGUE LIMO & C/S INC,,2017,10,October,"11,897",0,50
B03028,CASTILLO CAR & LIMO INC,,2020,10,October,665,0,4
B02937,"ACCESS TRANSPORTATION GROUP, LLC",,2017,6,June,"1,196",0,17
B02799,CHURCH AVENUE EXPRESS INC,,2018,1,January,"2,006",0,8
B02898,SANO CAR LLC,,2020,9,September,"2,806",0,16
B00789,VITAL TRANSPORTATION INC.,,2019,9,September,"7,880",0,164
B02988,"BED STAR DRIVERS ASSOCIATES, INC",,2020,2,February,"2,007",0,10
B03144,JUST A MOMENT CAR SERVICE INC,,2020,11,November,146,0,5
B02252,ASIANA LIMOUSINE INC.,,2015,10,October,195,0,5
B02739,TRAXLINE CAR SERVICE INC.,,2018,9,September,446,0,8
B01437,MERENGUE LIMO & C/S INC,,2018,8,August,"11,825",0,47
B02629,CARLUX LIMO INC.,,2017,5,May,245,0,6
B00411,FONE-A-CAR INC,,2019,9,September,943,0,44
B02956,W.K.EXPRESS LIMO SERVICE INC,,2019,6,June,17,0,10
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2019,5,May,"1,732",0,7
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2021,7,July,682,0,3
B02997,KALUMA TRANSPORTATION GROUP INC.,,2021,8,August,31,0,6
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,2020,4,April,"2,164",0,11
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2016,9,September,159,0,21
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2018,12,December,"1,209",0,11
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2019,9,September,"2,633",0,11
B01808,OLD TOWN CARS CORP,DELTA CARS,2017,4,April,"3,235",0,10
B02175,MURRAY'S LIMOUSINE SERVICE INC.,,2015,9,September,73,0,9
B01738,SAETA CAR SERVICE INC.,,2017,7,July,"2,615",0,17
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2018,10,October,49,0,11
B02784,SMILE TRANSPORTATION GROUP INC,,2016,8,August,"5,517",0,20
B02901,GALLANT LUXURY SERVICE CORP.,,2015,12,December,4,0,2
B01811,IVOIRE LIMO INC.,,2015,1,January,"8,742",0,54
B00919,HARLEM CARS INC.,,2018,11,November,"4,709",0,31
B03281,JARPA TRANSPORTATION CORP.,,2020,12,December,233,0,10
B02103,A & S LIMOUSINE SERVICE CORP,,2016,4,April,"3,591",0,26
B03160,"CURB TRANSPORTATION SERVICES,LLC",CURB MOBILITY-CURB TRANS,2019,5,May,"5,535",0,261
b01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2016,5,May,"8,086",0,22
B01081,GEORGE TOWN MANAGEMENT INC,,2021,5,May,284,0,2
B02634,VETERANS RADIO DISPATCHER CORP.,,2020,4,April,"3,030",0,18
B01726,SUPER CLASS RADIO DISP INC,,2019,6,June,"10,105",0,56
B02803,OUTSIDE'S CAR SERVICE INC.,,2016,10,October,"1,488",0,20
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2015,11,November,25,0,10
B02891,"GLIDE LUXURY TRANSPORTATION, INC",,2016,7,July,21,0,4
B02725,KIRIN TRANSPORTATION INC,,2018,9,September,108,0,9
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2016,8,August,"8,832",0,93
B01196,DIPLO RAD DISP INC,,2019,3,March,"11,563",0,77
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2018,11,November,289,0,25
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2018,6,June,"1,446",0,10
b01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2016,1,January,"3,344",0,10
B00889,MEXICANA CAR SERVICE INC.,,2019,12,December,"4,975",0,18
B01231,GO CAR CORP.,,2016,7,July,"8,607",0,51
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2019,1,January,160,0,2
B02694,CITY LIMOUSINE TRANSPORTATION INC.,,2016,2,February,130,0,18
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2017,2,February,"1,180",0,13
B02093,V.J. CAR & LIMO SVC INC.,,2017,8,August,"1,648",0,4
B01066,DOMINICANA RAD DISP INC,,2019,2,February,"8,554",0,71
B02737,BWJ GROUP INC,,2019,1,January,"4,566",0,15
B00608,SUMMIT CORPORATE CAR INC.,,2015,6,June,"3,697",0,49
B01466,FIVE STAR,,2020,12,December,939,0,8
B01318,LOWER EAST SIDE C/S CORP,,2017,6,June,"9,174",0,41
B00948,510 CAR SERVICE CORP,,2018,12,December,"12,495",0,32
B01432,TOVAR TRANSPORTATION INC,,2019,8,August,"2,387",0,11
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2019,1,January,"1,552",0,7
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2020,5,May,252,0,4
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2021,7,July,226,0,24
B02594,FENIX MOBILE DISPATCHERS LTD,,2017,4,April,"1,180",0,8
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2016,10,October,"4,790",0,19
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2018,6,June,"10,203",0,85
B03138,WST LIMOUSINE LLC,,2021,7,July,95,0,12
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2020,8,August,562,0,9
B02418,PLUSH SERVICES CORP,,2018,10,October,387,0,16
B02219,ALL QUEENS CAR & LIMOUSINE INC.,CAR ON TIME,2020,1,January,30,0,5
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2020,9,September,"3,831",0,50
B02657,MALCOLM LIMO EXPRESS CORP.,,2016,1,January,771,0,29
B02480,WOODHAVEN LIMOUSINE INC,,2018,11,November,15,0,3
B00746,BAMADU CAR SVCE,,2017,5,May,792,0,12
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2020,5,May,3,0,1
B03254,TEMPO TRANSPORTATION CORP.,,2020,10,October,42,0,2
B02664,CORPORATE CAR LTD.,,2016,9,September,193,0,45
B01285,UNION RADIO DISPATCH INC,,2018,3,March,"19,630",0,107
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2017,10,October,399,0,21
B03085,W DIAMOND LIMO INC,,2018,10,October,285,0,31
B00171,CURB TRANSPORTATION SERVICES LLC.,,2016,6,June,"3,720",0,23
B02406,MY SEDAN LLC,,2018,5,May,735,0,10
B01282,NEW LOTS C/S INC,,2020,2,February,"6,619",0,31
B01233,NEW LACONIA RAD DISP INC,,2018,7,July,"8,684",0,47
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2017,11,November,"8,618",0,21
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2015,4,April,"12,803",0,84
B02249,"LA RAZA CAR SERVICE, INC.",,2019,7,July,"2,683",0,15
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2017,12,December,17,0,4
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2018,1,January,"2,458",0,48
B02138,"GUADALUPANA CAR LIMO, INC",,2021,8,August,"3,014",0,16
B01318,LOWER EAST SIDE C/S CORP,,2021,6,June,884,0,12
B00932,NATASHAS GRP CAR CORP,,2016,8,August,"6,284",0,45
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2016,11,November,"3,257",0,84
B02316,"AJAY CAR SERVICE, LLC.",,2016,4,April,"1,306",0,15
B00472,FARRELL'S LEASING CO.,,2018,3,March,891,0,46
B02922,"HY'S LIVERY SERVICE,INC.",,2017,12,December,25,0,5
B02148,MAVRIK TRANS INC.,,2021,1,January,68,0,11
B02975,LI YANG LIMOUSINE INC,,2019,11,November,"3,419",0,26
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2020,4,April,"1,045",0,17
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2019,4,April,153,0,7
B01009,UNITED LIMO C/M SVC CORP,,2019,6,June,356,0,8
B01721,W.K. CAR & LIMO SERVICE INC,,2021,3,March,"1,167",0,8
B02897,FC LIMOUSINE INC,,2018,11,November,956,0,36
B03030,Q-FIRST LIMOUSINE CORP.,,2020,11,November,23,0,4
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2015,12,December,223,0,21
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2018,6,June,"2,513",0,69
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2020,5,May,177,0,2
B00477,INTA-BORO ACRES INC,,2018,11,November,"6,834",0,150
B03033,FLEX EXPRESS CORP.,,2018,11,November,"4,794",0,26
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2018,10,October,"31,058",0,521
B02715,GROUNDANYWHERE LLC,,2016,2,February,"12,730",0,275
B02784,SMILE TRANSPORTATION GROUP INC,,2020,12,December,"5,066",0,32
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2020,9,September,"2,069",0,11
B02695,SEE USA TOURS INC.,,2018,12,December,145,0,4
B02110,"OPTIMUM CAR & LIMO, INC.",,2018,8,August,"1,160",0,4
B02103,A & S LIMOUSINE SERVICE CORP,,2021,2,February,337,0,3
B02315,LA MORENITA CAR LIMO SERVICE INC,,2020,4,April,616,0,3
B01445,J T TRANS CO INC,,2017,1,January,"3,960",0,63
B00972,N.J.M.INC.,MID ISLAND CAR SVCE,2020,3,March,"1,618",0,10
B02688,KJ TRANSPORTATION,,2018,1,January,"2,682",0,34
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2021,8,August,545,0,3
B00608,SUMMIT CORPORATE CAR INC.,,2015,10,October,"3,588",0,46
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2018,8,August,528,0,5
B03116,NAVI TRANSPORTATION INC.,,2021,1,January,564,0,6
B01751,CONCORDE EXP OF N.Y. INC,,2017,2,February,"3,021",0,11
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2016,7,July,"1,080",0,28
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,2015,12,December,"3,107",0,75
B01250,BELLE MANAGEMENT CORP.,GLEN BELLE CAR SERVICE,2016,7,July,375,0,15
B02003,"AVALON CORPORATE CAR,INC.",,2016,5,May,"3,788",0,101
B01875,ON LINE LIMOUSINE LLC,,2017,12,December,"1,824",0,43
B02834,811 TRANSIT CORP,,2021,1,January,"1,974",0,7
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2020,11,November,"4,464",0,54
B03158,SPOTON.PET LLC,,2021,3,March,46,0,7
B02253,"CRESTWOOD CAR & LIMO SVC,LTD",,2019,4,April,"1,091",0,19
B02826,NEW BELL LUXURY CORP,,2021,1,January,"5,297",0,31
VIA,VIA,VIA,2018,7,July,"852,703","562,672","5,579"
B01051,B Q N C/S CORP,,2019,12,December,"12,678",0,63
B01963,AFRO CAR SERVICE CORP,,2019,5,May,"2,561",0,13
B02148,MAVRIK TRANS INC.,,2020,11,November,86,0,9
B02401,NORTHSIDE BK LLC,,2020,7,July,"1,159",0,26
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,2017,9,September,"3,017",0,69
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2017,12,December,"1,242",0,9
B02637,ROOSEVELT CAR & LIMO INC.,,2021,2,February,78,0,1
B00889,MEXICANA CAR SERVICE INC.,,2015,9,September,"20,339",0,91
B03240,ARECIBO EXPRESS INC.,,2021,3,March,208,0,15
B03106,LA NORTENA CAR & LIMO INC,,2018,7,July,504,0,4
B01282,NEW LOTS C/S INC,,2016,1,January,"18,070",0,60
B03199,RINCON TRANSPORTATION LLC,,2020,6,June,216,0,3
B01808,OLD TOWN CARS CORP,DELTA CARS,2020,6,June,561,0,3
B02207,"EASTERN LUXURY, INC.",,2017,10,October,534,0,109
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2018,11,November,"5,821",0,16
B00013,LOVE CORPORATE CAR INC,,2016,7,July,"7,146",0,117
B02110,"OPTIMUM CAR & LIMO, INC.",,2017,2,February,990,0,7
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2019,2,February,"2,618",0,10
B02298,NYG LIMOUSINE LLC,,2020,6,June,56,0,1
B03072,CONVENIENCE RIDE TRANSPORTATION SERVICES INC.,,2020,8,August,54,0,1
B01087,ELITE LIMO PLUS INC,,2018,1,January,"22,591",0,484
B02793,SEAVIEW ISLAND CAR SERVICE,,2016,6,June,"2,650",0,12
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2018,11,November,"4,159",0,9
B02306,ACCUELIMO LUXURY LLC,,2015,6,June,"3,110",0,27
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2016,1,January,"1,560",0,17
B00411,FONE-A-CAR INC,,2019,11,November,"1,042",0,44
B02173,ADMIRE LLP LLC,,2019,3,March,3,0,3
B01721,W.K. CAR & LIMO SERVICE INC,,2018,9,September,"3,274",0,25
B02144,"SILVER STAR LIMOUSINES, INC.",,2016,10,October,305,0,10
B01146,CHURCH AVE C/S INC,,2019,7,July,"5,934",0,30
B00552,HINO-MARU ENTERPRISES INC.,,2019,8,August,55,0,15
B01145,ULTRA RADIO DISP INC,,2021,1,January,"33,205",0,199
B00937,RIVERSIDE RADIO DISPATCHER,,2019,3,March,"16,481",0,148
B00149,RAINBOW RAD DISP INC,,2019,8,August,"1,911",0,13
B01803,"V.I.P. CONNECTION, INC.",CARLINK,2019,11,November,"2,867",0,86
B01877,U.S.A. LIMO. INC.,BLUE LINE,2015,10,October,"8,486",0,164
B01527,NEW FAMILY RAD DISP INC,,2018,3,March,"7,571",0,67
B02912,FIRST CLASS LUXURY INC,,2020,4,April,410,0,3
B01362,AMERICAN BASE NO.1 INC.,,2020,6,June,"3,553",0,22
B03030,Q-FIRST LIMOUSINE CORP.,,2017,12,December,155,0,11
B02681,DIRECT CAR & LIMO SERVICE INC.,,2015,8,August,72,0,3
B03236,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2020,10,October,302,0,27
B02005,CAR LINE TRANSPORTATION CORP.,CAR LINE TRANSPORTATION CORP.,2020,1,January,478,0,17
B01016,810 CAR SVCE CORP,,2017,8,August,"13,255",0,58
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2018,9,September,"1,539",0,46
B01984,NY 88 EXPRESS CORP.,,2017,12,December,"31,480",0,147
B03297,ABA LUXURY CAR INC.,,2021,9,September,129,0,8
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2021,1,January,895,0,10
B01846,ROMANTIQUE LIMOUSINE INC.,,2018,4,April,34,0,9
B01492,MOBILE #1 CAR SERVICE INC.,,2018,8,August,49,0,6
B02133,"TWR CAR & LIMO, INC.",,2019,9,September,"12,089",0,143
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2019,10,October,"3,112",0,15
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2018,1,January,"7,163",0,198
B02819,FIVE STAR LUXURY INC.,,2016,7,July,"2,630",0,11
B00827,"CASTLE CAR SERVICE, INC",,2018,6,June,965,0,4
B03193,"EXPERT CARE TRANSPORTATION, INC.",EXPERT TRANSPORTATION,2019,12,December,160,0,3
B02795,LIMO SEVEN TRANSPORTATION INC,,2018,5,May,"2,940",0,17
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2020,3,March,251,0,3
B03107,JD XPRESS INC.,,2018,9,September,134,0,4
B01777,PREMIUM RADIO DISP & MULTI SVC,,2015,1,January,"20,781",0,201
B02110,"OPTIMUM CAR & LIMO, INC.",,2015,6,June,"2,491",0,10
B01057,NEW AMERICAN C/L SVC,,2017,4,April,"1,265",0,12
B02997,KALUMA TRANSPORTATION GROUP INC.,,2018,5,May,95,0,29
B03064,AP LUXURY LIMOUSINE INC,,2021,6,June,60,0,4
B00628,"CONCORD LIMOUSINE 1, LLC",,2020,6,June,"1,170",0,45
B02107,APOLLO RADIO DISPATCH INC.,,2017,12,December,"9,418",0,61
B02339,SEDANZ INC.,,2019,8,August,89,0,7
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2017,8,August,"3,658",0,25
B00039,BERMUDA LIMOUSINE SERVICE INC.,,2018,6,June,"1,054",0,37
B01391,ROSE 'N' DALE C/S INC,,2015,10,October,"3,945",0,11
B03316,BLADE URBAN GROUND MOBILITY LLC.,BLADE,2020,11,November,10,0,1
B02838,THA MAYA CAR SERVICE INC,,2016,8,August,538,0,13
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2017,10,October,834,0,31
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2017,1,January,"1,309",0,13
B00457,PREMIUM BRONX CORP,,2020,8,August,"5,918",0,29
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2018,2,February,151,0,15
B01432,TOVAR TRANSPORTATION INC,,2018,3,March,"3,327",0,15
B02917,C & A BLACK CAR CORP.,,2020,5,May,387,0,23
B02535,LFS LIMO CORP.,,2021,3,March,2,0,2
B01510,JPAN TRANSPORTATION INC,PARSONS CAR SERVICE,2015,7,July,"1,748",0,11
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2019,7,July,"23,193",0,133
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2020,10,October,620,0,26
B01338,3210 WEBSTER AV PRESTIGE C/S,,2018,11,November,"19,334",0,122
B00112,"AYY&M TRANSPORTATION, LLC",HARBORVIEW CAR SERVICE,2020,2,February,"5,105",0,14
b00855,MAGNIFICENT 7'S ENTP INC,,2018,5,May,371,0,3
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2015,7,July,"2,594",0,19
B02406,MY SEDAN LLC,,2017,4,April,689,0,14
B02814,BELL LX INC,,2020,4,April,"1,002",0,7
B02891,"GLIDE LUXURY TRANSPORTATION, INC",,2017,11,November,184,0,5
B02925,SIGNATURE BLACK CAR LLC,,2018,10,October,379,0,18
B01601,YOURS CAR SERVICE INC,,2016,5,May,"3,332",0,8
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2020,12,December,9,0,1
B00160,JAFFA CAR & LIMO SVC INC,,2019,6,June,"2,671",0,14
B00727,RECHEV OF BROOKLYN INC,,2019,6,June,"1,344",0,5
B02670,STRIDE TRANSPORTATION INC.,,2019,9,September,833,0,44
B01436,NEW PRONTO TRANSP INC,,2021,5,May,95,0,4
B02834,811 TRANSIT CORP,,2017,6,June,"3,255",0,21
B00196,NEW EASY WAY RADIO DISP INC,,2019,4,April,90,0,7
B02849,BROOKLYN RIDES CORP,,2018,8,August,"14,331",114,109
B01454,FREEDOM LIMO & CAR SERVICE,,2020,2,February,"3,735",0,13
B01984,NY 88 EXPRESS CORP.,,2015,5,May,"16,400",0,129
B02838,THA MAYA CAR SERVICE INC,,2018,7,July,376,0,7
B02426,TRISTAR SERVICES (US) INC.,TRISTAR WORLDWIDE CHAUFFEURED SERVICES,2016,9,September,"1,205",0,24
B01109,UNITED EXP C/L SVCE,,2020,8,August,"3,177",0,19
B03015,TRI-COUNTY BLACK CARS INC,,2021,3,March,"2,561",0,9
